Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2025-09-14,2025,Antwerp,Gent,1,2,A,O,2.36,3.45,2.79,7.0,6.0,5.0,1.0,4,2.0,,0.0,,6.0,,,3.0,,,3.0,,,1.0,,,0.0,,,66.7,0.0,0.0,50.0,10.0,,13.0,
2025-09-14,2025,Anderlecht,Genk,1,1,D,U,2.43,3.53,2.65,3.0,3.0,3.0,7.0,3,,1.0,,2.0,,4.0,,,5.0,,,-1.0,,,0.0,,,0.0,,50.0,50.0,33.3,66.7,,22.0,,18.0
2025-09-13,2025,Waregem,Oud-Heverlee Leuven,2,0,H,U,2.38,3.35,2.82,8.0,6.0,2.0,6.0,4,0.0,1.0,2.0,2.0,1.0,2.0,-1.0,4.0,8.0,-4.0,-3.0,-6.0,3.0,0.0,0.0,0.0,1.0,2.0,-1.0,0.0,66.7,33.3,66.7,8.0,5.0,14.0,16.0
2025-09-13,2025,RAAL La Louviere,Club Brugge,1,0,H,U,6.2,4.43,1.46,4.0,6.0,5.0,6.0,4,1.0,1.0,1.0,1.0,1.0,3.0,-2.0,2.0,3.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,33.3,33.3,33.3,33.3,5.0,16.0,14.0,19.0
2025-09-13,2025,Dender,St. Gilloise,0,1,A,U,6.61,4.26,1.46,2.0,4.0,1.0,6.0,4,0.0,1.0,2.0,0.0,0.0,4.0,-4.0,3.0,3.0,0.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.7,33.3,0.0,9.0,21.0,9.0,17.0
2025-09-12,2025,Standard,Mechelen,1,1,D,U,2.34,3.29,2.95,3.0,6.0,12.0,5.0,4,1.0,1.0,1.0,1.0,3.0,3.0,0.0,5.0,3.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,33.3,33.3,33.3,33.3,14.0,13.0,11.0,24.0
2025-08-31,2025,St. Gilloise,Anderlecht,2,0,H,U,1.6,3.88,5.27,5.0,4.0,5.0,5.0,3,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,
2025-08-31,2025,Oud-Heverlee Leuven,Standard,1,0,H,U,2.2,3.33,3.12,3.0,1.0,4.0,4.0,3,,,,,,,,,,,,,,,,,,,,0.0,50.0,50.0,50.0,,,,
2025-08-31,2025,Gent,Club Brugge,1,1,D,U,4.98,4.12,1.59,2.0,6.0,6.0,7.0,3,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,,,,
2025-08-31,2025,Genk,Waregem,3,2,H,O,1.37,5.05,6.83,4.0,3.0,5.0,4.0,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,50.0,50.0,,,,
2025-08-30,2025,Westerlo,Antwerp,2,0,H,U,2.47,3.49,2.62,9.0,3.0,5.0,4.0,3,,,,,,,,,,,,,,,,,,,,50.0,50.0,0.0,0.0,,,,
2025-08-30,2025,Mechelen,RAAL La Louviere,3,2,H,O,1.63,3.97,4.76,8.0,3.0,4.0,6.0,3,,,,,,,,,,,,,,,,,,,,50.0,0.0,0.0,100.0,,,,
2025-08-30,2025,Charleroi,Dender,3,1,H,O,1.73,3.68,4.44,4.0,4.0,5.0,4.0,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,50.0,,,,
2025-08-29,2025,Cercle Brugge,St Truiden,1,1,D,U,2.15,3.51,3.12,4.0,5.0,3.0,8.0,3,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,0.0,,,,
2025-08-24,2025,RAAL La Louviere,St. Gilloise,0,0,D,U,7.13,4.53,1.41,1.0,5.0,5.0,2.0,3,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,0.0,,,,
